videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
e6Qa05lBdEI,글쎄 ㅋ 대한민국에 순식간에 부자가 된 사람이 너무나도 많다,글쎄 ㅋ 대한민국에 순식간에 부자가 된 사람이 너무나도 많다,제임스셀렙,https://yt3.ggpht.com/ytc/AKedOLSXoJmrW9VVQSm3Qow6Vi5f3wpeFmijxK_Idg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3bF9ux-LTNU1Bd5PtopQCQ,UC3bF9ux-LTNU1Bd5PtopQCQ,TRUE,none,0,2020-09-15T09:26:34Z,2020-09-15T09:26:34Z,Ugz7Xkenf9ytxfmipi94AaABAg,NA,NA
e6Qa05lBdEI,늦었지만 이 영상을 지금이라도 보게돼서 다행이네요<br>150일 딸에게  더 좋은 부모가 되어 줄 수 있는 계기가 될거같아요,"늦었지만 이 영상을 지금이라도 보게돼서 다행이네요
150일 딸에게  더 좋은 부모가 되어 줄 수 있는 계기가 될거같아요",Grace Chae,https://yt3.ggpht.com/ytc/AKedOLQlXEt-OZxNfw-E5IqbBwVbTa-jF9IKrBE0cw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxpHFcGjX4_zClSwLKTYPeA,UCxpHFcGjX4_zClSwLKTYPeA,TRUE,none,0,2020-09-15T02:05:38Z,2020-09-15T02:05:38Z,Ugxfb82UP06k_OhAeVN4AaABAg,NA,NA
e6Qa05lBdEI,저도 희망을 가져요,저도 희망을 가져요,안심심,https://yt3.ggpht.com/ytc/AKedOLQoQpTGvvT9CBwWUgwdK3zsONDAxygcZwMFrOkH=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuQPRDi7b1NtTOvdvId9PGA,UCuQPRDi7b1NtTOvdvId9PGA,TRUE,none,0,2020-09-14T08:23:02Z,2020-09-14T08:23:02Z,UgwOgLT0Rd0iOgb7y2x4AaABAg,NA,NA
e6Qa05lBdEI,감사합니다 정말 맞읍니다,감사합니다 정말 맞읍니다,이종순,https://yt3.ggpht.com/ytc/AKedOLS7LGSe4qg0gh_AE9zIreL2EN8xf9w_1nSik_VP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzk6ykB-QLcWhQwOKL7Lfog,UCzk6ykB-QLcWhQwOKL7Lfog,TRUE,none,0,2020-09-13T20:44:23Z,2020-09-13T20:44:23Z,UgzvpfBHalyG5uI0ZwJ4AaABAg,NA,NA
e6Qa05lBdEI,"기억에 남는 것들<br><br>1. 사교육은 돈 낭비, 차라리 주식으로 어릴때부터 창업을 교육 돈이 돈을 버는 것을 교육<br>2. 10만원이 8만원 되는 것은 위험이 아니라 변동, 0원이 되는 것이 위험 고로 망하지 않는 기업에 대한 공부를 한다면 위험이 아님<br>3. 투자하는 것이 위험한 게 아니라 투자하지 않는 것이 위험한 것<br>4. 자본주의의 기본 원리 , 기업의 가치는 시간이 지나면서 확장, 한 사람과 안 한 사람의 차이는 막대하다","기억에 남는 것들

1. 사교육은 돈 낭비, 차라리 주식으로 어릴때부터 창업을 교육 돈이 돈을 버는 것을 교육
2. 10만원이 8만원 되는 것은 위험이 아니라 변동, 0원이 되는 것이 위험 고로 망하지 않는 기업에 대한 공부를 한다면 위험이 아님
3. 투자하는 것이 위험한 게 아니라 투자하지 않는 것이 위험한 것
4. 자본주의의 기본 원리 , 기업의 가치는 시간이 지나면서 확장, 한 사람과 안 한 사람의 차이는 막대하다",강성범,https://yt3.ggpht.com/OEEW5IxXrSsMybQJcYRDyeV1o7f8pKdbWJUXMOjCi49D_seledDULzKo3GrwSOtsPrtsGcVPwQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAjNC_eotTHW6ECypOyWmWg,UCAjNC_eotTHW6ECypOyWmWg,TRUE,none,0,2020-09-11T10:12:11Z,2020-09-11T10:12:11Z,UgxsTEcmjkr_NyjyjKV4AaABAg,NA,NA
e6Qa05lBdEI,25살에 이 영상을 본게 너무나 행운,25살에 이 영상을 본게 너무나 행운,j_h,https://yt3.ggpht.com/Hu1tZ5Qe41JFqliAH6vBUvvTDtnWTOyBdO_PZxjWfyRrEYmZDf3vjqY4Ohs6kq1RTU-9kwTK0A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzqUpI6wQLJnAQ0I1QDxkZA,UCzqUpI6wQLJnAQ0I1QDxkZA,TRUE,none,7,2020-09-11T10:11:13Z,2020-09-11T10:11:13Z,UgyCuekDY_Kk24O81ph4AaABAg,NA,NA
e6Qa05lBdEI,존리 대표님을 ★  대통령이나<br>교육부 장관 ★햇으면 조켔어요 !!!<br>★★ 가난은 대물님이다~~!!!<br>영상 감사합니다 최고 👍 👍,"존리 대표님을 ★  대통령이나
교육부 장관 ★햇으면 조켔어요 !!!
★★ 가난은 대물님이다~~!!!
영상 감사합니다 최고 👍 👍",다람,https://yt3.ggpht.com/ytc/AKedOLSl0bJQ9Xc9E7SOcttLh9fjs6CpYr1lW5Vkr89IjA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEsHqfN592pyjk_XX3Wfa0Q,UCEsHqfN592pyjk_XX3Wfa0Q,TRUE,none,0,2020-09-10T14:49:44Z,2020-09-10T14:53:04Z,UgwvJNPFx9QoEsAJozB4AaABAg,NA,NA
e6Qa05lBdEI,옳으신 말씀 ....<br>될성부른 떡잎 하나 잘 골라 백년대계를 바라보며 나무심기 ....ㅋ,"옳으신 말씀 ....
될성부른 떡잎 하나 잘 골라 백년대계를 바라보며 나무심기 ....ㅋ",Buyoung Oh,https://yt3.ggpht.com/ytc/AKedOLQfQ3Avc0PoWNs0PncsYW4qs3W0DwHSmLizfg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJvQ_dlbf_Eb4zGS2WS4leQ,UCJvQ_dlbf_Eb4zGS2WS4leQ,TRUE,none,0,2020-09-10T08:04:00Z,2020-09-10T08:04:00Z,UgzDaU1hOeMFDQZR1fd4AaABAg,NA,NA
e6Qa05lBdEI,"부자는 천천히 되는거다.나무심는거와 같다.심는게 중요하다.심는걸 두려워한다.돈이 자랄 동안 시간을 준다.뽑고 새로심는거도 아니다.복리의 마법.금융교육이 중요. 사교육 끊고 주식 사줘라.펀드나 주식을 선물로 사준다.타인의 말을 듣지마라. 크래딧카드를 주는 순간 위험해지는거다.젊어서 벌어본 애들이 성공한다.금융문맹은 병이다.즐거운생각,부자처럼되고싶고 긍정적인 생각으로 아이들에게 돈을 가르쳐야한다.경제지식이 없기때문에 사기당한다.빚을 없애고 라이프스타일을 바꾼다. 부자가되려면  창업한다.주식을 어러개 사거나 공부해야 좋은 주식을 살수있다.기업의 가치는 시간과함께 확장한다.일찍할수록 좋다.돈의 중요성을 알자","부자는 천천히 되는거다.나무심는거와 같다.심는게 중요하다.심는걸 두려워한다.돈이 자랄 동안 시간을 준다.뽑고 새로심는거도 아니다.복리의 마법.금융교육이 중요. 사교육 끊고 주식 사줘라.펀드나 주식을 선물로 사준다.타인의 말을 듣지마라. 크래딧카드를 주는 순간 위험해지는거다.젊어서 벌어본 애들이 성공한다.금융문맹은 병이다.즐거운생각,부자처럼되고싶고 긍정적인 생각으로 아이들에게 돈을 가르쳐야한다.경제지식이 없기때문에 사기당한다.빚을 없애고 라이프스타일을 바꾼다. 부자가되려면  창업한다.주식을 어러개 사거나 공부해야 좋은 주식을 살수있다.기업의 가치는 시간과함께 확장한다.일찍할수록 좋다.돈의 중요성을 알자",유엘리,https://yt3.ggpht.com/ytc/AKedOLScJXWa_2jd7qWf3y8NAFY2cax3-s_Ik19xJA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAnEDq7XzYBgILTVK_YeiKw,UCAnEDq7XzYBgILTVK_YeiKw,TRUE,none,0,2020-09-09T18:48:23Z,2020-09-09T18:56:43Z,Ugz4GYa3pNuvQGVJphJ4AaABAg,NA,NA
e6Qa05lBdEI,결혼도 마찬가지다,결혼도 마찬가지다,힘내요,https://yt3.ggpht.com/ytc/AKedOLRpkfMzyaX5gp8yRb8_uwYEB8qEezD9crAGIAlG=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1lXjX0gXzSW3sDT1cPPqpQ,UC1lXjX0gXzSW3sDT1cPPqpQ,TRUE,none,0,2020-09-09T05:03:50Z,2020-09-09T05:03:50Z,UgxEViZEui3Vz0EcPcJ4AaABAg,NA,NA
